baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
AH6.10	1.15515103806149	0.505526295444619	1.6995588180493	0.29744560180909	0.766126332945349	0.913862770302695	-1.01196298451176
AH6.11	0.130146850374383	-0.10878141745112	3.59826901705169	-0.0302315966192688	0.975882349583837	NA	-0.397655271616018
AH6.12	0	NA	NA	NA	NA	NA	NA
AH6.14	0.0530812039477275	-1.07056532538084	3.59826903338908	-0.297522312936261	0.766067775568964	NA	0.564128636313707
AH6.2	0.427327381548332	-1.44702430449575	3.59569202524988	-0.402432770752993	0.687365556433833	0.88344741061276	0.940587615428611
AH6.3	0.920127549668398	0.550988564046783	1.44040165389983	0.382524251173277	0.70207254429714	0.888233226454884	-1.05742525311392
AH6.4	0.969040865708371	-0.812540140063731	1.13476893074519	-0.716040171746811	0.473966544287387	0.791386500527634	0.306103450996594
AH6.5	3247.71658431396	-1.12446131649104	0.660535951651491	-1.70234688010491	0.0886903615473432	0.398967395626235	0.618024627423907
AH6.6	0.0676657383539942	0.219604540214519	3.59866418621276	0.0610239046632554	0.951340171361909	NA	-0.726041229281656
AH6.7	0.16082736983373	-0.10878141745112	3.59826901705169	-0.0302315966192688	0.975882349583837	NA	-0.397655271616018
AH6.8	0	NA	NA	NA	NA	NA	NA
AH9.1	14.3809384294016	0.477487264949016	0.329942697879587	1.4471823986942	0.147845844893788	0.486490643303139	-0.983923954016153
AH9.2	169.906854317141	-0.482045015095996	0.618258564498258	-0.779681904588245	0.435578132557241	0.769196264693574	-0.024391673971141
AH9.3	591.950159381939	-0.241348512903374	0.148940297706421	-1.6204379648757	0.105138230102033	0.425965831965515	-0.265088176163765
AH9.4	6.22432194183721	0.257645349185698	0.720994807928673	0.357347024350815	0.72083203040631	0.894957074191736	-0.764082038252836
AH9.6	30.8664224302019	0.517798326266465	1.69950180702305	0.304676537633974	0.760612520782508	0.911240406230483	-1.0242350153336
AH9.7	17.5884919681358	1.10712848622625	0.348777046926745	3.17431578706723	0.00150190191615943	0.0350989003717342	-1.61356517529339
B0001.1	619.994760155569	0.420107494045249	0.483564796203347	0.868771873684094	0.384971920074447	0.735318135392513	-0.926544183112386
B0001.2	228.780212672522	-0.0895629490246569	0.352425417276764	-0.254133058043092	0.799392764900475	0.92613382314449	-0.416873740042481
B0001.3	427.186185535643	-0.0765073439316126	0.160463993653026	-0.476788232611521	0.633512925957136	0.86725020360646	-0.429929345135525
B0001.4	459.347049369522	-0.28001059646091	0.176529972865149	-1.58619293888868	0.112695549078083	0.43560579480654	-0.226426092606227
B0001.5	520.784220544255	-0.188886184357972	0.114915640947748	-1.64369430305713	0.100239363321492	0.418990056848018	-0.317550504709166
B0001.6	2726.98396402636	0.455408510686304	0.334475523252497	1.36156005156322	0.173336769771377	0.521104732991198	-0.961845199753442
B0001.7	709.605260791667	-1.03993456200462	0.673941374764261	-1.54306383454849	0.122815288477525	0.44945776737343	0.533497872937482
B0001.8	500.744430512269	-0.939652161901072	0.391415946655495	-2.40064864482414	0.0163660422606325	0.180141718685695	0.433215472833935
B0019.1	168.685741799342	0.724008504599438	0.967331148468971	0.74845982758371	0.454182847479161	0.780597530339557	-1.23044519366658
B0019.2	439.88794075355	-0.141235930112	0.297358692801914	-0.474968223666777	0.634809622503747	0.86725020360646	-0.365200758955138
B0024.1	19.5646663613645	3.09422075256559	0.713067620562753	4.33930901269031	1.42931423075611e-05	0.000772773571364461	-3.60065744163273
B0024.10	362.214525470817	-0.520101950162719	0.190754860781833	-2.7265462491022	0.00640009827386218	0.100674189956553	0.0136652610955825
B0024.11	438.614990068038	-0.37042599220028	0.304795554555052	-1.21532609864024	0.224241741658669	0.584179178572249	-0.136010696866858
B0024.12	115.227669333174	-0.178634027241499	0.341541906114449	-0.523022282312964	0.600958747177596	0.858083089019666	-0.327802661825638
