baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
AH6.4	0.521548175493301	1.8238297476546	2.84889776007353	0.640187855533126	0.522050477237974	NA	-2.04285277614494
AH6.5	43.1585495776288	0.0215003926877412	0.476091901527849	0.0451601731067958	0.963979639099068	0.998113604215369	-0.240523421177802
AH6.6	0	NA	NA	NA	NA	NA	NA
AH6.7	0.554201884361335	1.91589808308762	2.43995405660092	0.785218917505619	0.43232522574657	NA	-2.13492111157825
AH6.8	1.40403828797913	-2.57890132793823	1.43369122860762	-1.79878433827263	0.0720528017187263	NA	2.35987829944652
AH9.1	12.5387818498897	0.524849134057033	0.603064142237203	0.870303998029108	0.384134294640206	0.868954832680797	-0.743872162547246
AH9.2	19.1947810122321	-0.202786577005798	0.621049478935431	-0.326522417108221	0.744029131491211	0.960492366493705	-0.0162364514842414
AH9.3	85.5934884463696	-0.0348561454809053	0.267112811264675	-0.130492226546061	0.89617700387547	0.988080356647416	-0.184166883009037
AH9.4	10.016971654462	-0.753573004125927	0.555179445298764	-1.3573503315138	0.174669921971901	0.721494846527018	0.534549975635597
AH9.6	62.3661041409403	-0.231984152934917	0.381407696526696	-0.608231441178272	0.54303398441494	0.924019732210818	0.0129611244449036
AH9.7	6.96822229594512	-0.732952067868731	0.588444929636219	-1.24557461701955	0.212920605851928	0.771210611320461	0.513929039378897
B0001.1	521.323136792748	-0.866208391011765	0.269712292103688	-3.2116014596723	0.0013199735142832	0.0482390320674405	0.64718536252175
B0001.2	156.478470928364	0.272632619976264	0.350132344799249	0.778655911188611	0.436182433986926	0.888370790312738	-0.491655648466299
B0001.3	328.966528196577	-0.383391720351406	0.145697212784195	-2.63142796643118	0.00850268897107994	0.163593438149749	0.164368691861358
B0001.4	374.964798708409	-0.217208044147921	0.126683863184139	-1.71456757544726	0.0864245377684844	0.55543957491725	-0.00181498434201609
B0001.5	262.848797915303	-0.193935360668791	0.174207782174076	-1.11324166032378	0.265604654729524	0.805867524284861	-0.0250876678211622
